NameRegion,Name,Region,Description,URL,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Asparagus5,Asparagus,5,"Egyption friezes depict asparagus as an offering dating back as far as 3000 B.C. Emperor Augustus would coin the expression ""faster than cooking asparagus"" as a representation for quick action. Asparagus holds the distinction of being both a diuretic and an aphrodisiac, a real one-two punch when served at house parties. ",,0,0,0,1,1,1,0,0,0,0,0,0
Avocados1,Avocados,1,"This fatty fruit (technically a giant berry) is originally from South Central Mexico. The name comes from the Nahuatl word 'ahuacatl', a word that the Aztecs used interchangeably to describe the fruit, and as a stand-in for the word 'testicle'. ",,1,1,1,1,1,1,1,1,1,1,1,1
Avocados2,Avocados,2,"This fatty fruit (technically a giant berry) is originally from South Central Mexico. The name comes from the Nahuatl word 'ahuacatl', a word that the Aztecs used interchangeably to describe the fruit, and as a stand-in for the word 'testicle'. ",,1,0,0,0,0,1,1,1,1,1,1,1
Avocados3,Avocados,3,"This fatty fruit (technically a giant berry) is originally from South Central Mexico. The name comes from the Nahuatl word 'ahuacatl', a word that the Aztecs used interchangeably to describe the fruit, and as a stand-in for the word 'testicle'. ",,0,0,0,0,0,0,0,0,0,0,0,0
Avocados4,Avocados,4,"This fatty fruit (technically a giant berry) is originally from South Central Mexico. The name comes from the Nahuatl word 'ahuacatl', a word that the Aztecs used interchangeably to describe the fruit, and as a stand-in for the word 'testicle'. ",,0,0,0,0,0,0,0,0,0,0,0,0
Avocados5,Avocados,5,"This fatty fruit (technically a giant berry) is originally from South Central Mexico. The name comes from the Nahuatl word 'ahuacatl', a word that the Aztecs used interchangeably to describe the fruit, and as a stand-in for the word 'testicle'. ",,0,0,0,0,0,0,0,0,0,0,0,0
Bananas1,Bananas,1,"The banana plant is the largest herbaceous flowering plant. The banana naturally emits radioactivity, and as such the scientific community has developed the ""banana equivalent dose"" to represent the measurement of natural occurrences of radiation. ",,0,0,0,0,0,0,0,0,0,0,0,0
Bananas2,Bananas,2,"The banana plant is the largest herbaceous flowering plant. The banana naturally emits radioactivity, and as such the scientific community has developed the ""banana equivalent dose"" to represent the measurement of natural occurrences of radiation. ",,1,1,1,1,1,1,1,1,1,1,1,1
Bananas3,Bananas,3,"The banana plant is the largest herbaceous flowering plant. The banana naturally emits radioactivity, and as such the scientific community has developed the ""banana equivalent dose"" to represent the measurement of natural occurrences of radiation. ",,0,0,0,0,0,0,0,0,0,0,0,0
Bananas4,Bananas,4,"The banana plant is the largest herbaceous flowering plant. The banana naturally emits radioactivity, and as such the scientific community has developed the ""banana equivalent dose"" to represent the measurement of natural occurrences of radiation. ",,0,0,0,0,0,0,0,0,0,0,0,0
Bananas5,Bananas,5,"The banana plant is the largest herbaceous flowering plant. The banana naturally emits radioactivity, and as such the scientific community has developed the ""banana equivalent dose"" to represent the measurement of natural occurrences of radiation. ",,0,0,0,0,0,0,0,0,0,0,0,0
Basil1,Basil,1,"Basil is native to tropical regions from central Africa to Southeast Asia, and is used in cuisines worldwide. Add fresh basil at the very end of preparing a meal, as cooking fresh basil can destroy its flavor. In Portugal, a present of Basil, a poem, and a paper carnation can signify romantic intent. ",,0,0,0,0,1,1,1,1,1,1,1,1
Basil2,Basil,2,"Basil is native to tropical regions from central Africa to Southeast Asia, and is used in cuisines worldwide. Add fresh basil at the very end of preparing a meal, as cooking fresh basil can destroy its flavor. In Portugal, a present of Basil, a poem, and a paper carnation can signify romantic intent. ",,0,0,0,0,1,1,1,1,1,1,0,0
Basil3,Basil,3,"Basil is native to tropical regions from central Africa to Southeast Asia, and is used in cuisines worldwide. Add fresh basil at the very end of preparing a meal, as cooking fresh basil can destroy its flavor. In Portugal, a present of Basil, a poem, and a paper carnation can signify romantic intent. ",,0,0,0,0,0,0,1,1,1,1,0,0
Basil4,Basil,4,"Basil is native to tropical regions from central Africa to Southeast Asia, and is used in cuisines worldwide. Add fresh basil at the very end of preparing a meal, as cooking fresh basil can destroy its flavor. In Portugal, a present of Basil, a poem, and a paper carnation can signify romantic intent. ",,0,0,0,0,0,0,1,1,1,0,0,0
Basil5,Basil,5,"Basil is native to tropical regions from central Africa to Southeast Asia, and is used in cuisines worldwide. Add fresh basil at the very end of preparing a meal, as cooking fresh basil can destroy its flavor. In Portugal, a present of Basil, a poem, and a paper carnation can signify romantic intent. ",,0,0,0,0,0,0,1,1,1,1,0,0
Beets1,Beets,1,"Not just a food, beets also have been used as a method for coloring foods and fabrics. Bartolomeo Platina reccomends beets as a cure for ""garlic-breath"". ",,1,1,1,1,1,1,1,1,1,1,1,1
Beets2,Beets,2,"Not just a food, beets also have been used as a method for coloring foods and fabrics. Bartolomeo Platina reccomends beets as a cure for ""garlic-breath"". ",,1,1,1,1,1,0,0,0,0,1,1,1
Beets3,Beets,3,"Not just a food, beets also have been used as a method for coloring foods and fabrics. Bartolomeo Platina reccomends beets as a cure for ""garlic-breath"". ",,0,0,0,0,0,1,1,1,1,1,1,0
Beets4,Beets,4,"Not just a food, beets also have been used as a method for coloring foods and fabrics. Bartolomeo Platina reccomends beets as a cure for ""garlic-breath"". ",,0,0,0,0,1,1,1,1,1,1,1,0
Beets5,Beets,5,"Not just a food, beets also have been used as a method for coloring foods and fabrics. Bartolomeo Platina reccomends beets as a cure for ""garlic-breath"". ",,0,0,0,0,1,1,1,1,1,0,0,0
Black_Eyed_Peas1,Black Eyed Peas,1,"A variety of peas that is popular in the American South, where it is consumed as part of a traditional New Year's Day meal. Highly promoted by George Washington Carver because of it's high nutritional value. ",,0,0,0,0,0,1,1,1,0,0,0,0
Black_Eyed_Peas2,Black Eyed Peas,2,"A variety of peas that is popular in the American South, where it is consumed as part of a traditional New Year's Day meal. Highly promoted by George Washington Carver because of it's high nutritional value. ",,0,0,0,0,1,1,1,1,1,1,0,0
Black_Eyed_Peas3,Black Eyed Peas,3,"A variety of peas that is popular in the American South, where it is consumed as part of a traditional New Year's Day meal. Highly promoted by George Washington Carver because of it's high nutritional value. ",,0,0,0,0,0,1,1,0,0,0,0,0
Black_Eyed_Peas4,Black Eyed Peas,4,"A variety of peas that is popular in the American South, where it is consumed as part of a traditional New Year's Day meal. Highly promoted by George Washington Carver because of it's high nutritional value. ",,0,0,0,0,0,1,1,0,0,0,0,0
Black_Eyed_Peas5,Black Eyed Peas,5,"A variety of peas that is popular in the American South, where it is consumed as part of a traditional New Year's Day meal. Highly promoted by George Washington Carver because of it's high nutritional value. ",,0,0,0,0,1,1,1,0,0,0,0,0
Blackberries1,Blackberries,1,Part of bramble family of fruits. There were remnants of blackberries found in the bog body of the Haraldskaer Woman. Often used in jams and jellies. ,,0,0,0,0,1,1,1,1,1,0,0,0
Blackberries2,Blackberries,2,Part of bramble family of fruits. There were remnants of blackberries found in the bog body of the Haraldskaer Woman. Often used in jams and jellies. ,,0,0,0,0,1,1,1,0,0,0,0,0
Blackberries3,Blackberries,3,Part of bramble family of fruits. There were remnants of blackberries found in the bog body of the Haraldskaer Woman. Often used in jams and jellies. ,,0,0,0,0,0,0,0,1,1,0,0,0
Blackberries4,Blackberries,4,Part of bramble family of fruits. There were remnants of blackberries found in the bog body of the Haraldskaer Woman. Often used in jams and jellies. ,,0,0,0,0,0,1,1,1,0,0,0,0
Blackberries5,Blackberries,5,Part of bramble family of fruits. There were remnants of blackberries found in the bog body of the Haraldskaer Woman. Often used in jams and jellies. ,,0,0,0,0,0,0,0,1,1,0,0,0
Blueberries1,Blueberries,1,Most commercially offered blueberries originate from a species that occurs in eastern and north-central North America. Several Canadian First Nation communities are involved in the harvesting of wild blueberries.,,0,0,0,0,1,1,1,0,0,0,0,0
Blueberries2,Blueberries,2,Most commercially offered blueberries originate from a species that occurs in eastern and north-central North America. Several Canadian First Nation communities are involved in the harvesting of wild blueberries.,,0,0,0,0,1,1,0,0,0,0,0,0
Blueberries3,Blueberries,3,Most commercially offered blueberries originate from a species that occurs in eastern and north-central North America. Several Canadian First Nation communities are involved in the harvesting of wild blueberries.,,0,0,0,0,0,0,1,1,1,0,0,0
Blueberries4,Blueberries,4,Most commercially offered blueberries originate from a species that occurs in eastern and north-central North America. Several Canadian First Nation communities are involved in the harvesting of wild blueberries.,,0,0,0,0,0,1,1,1,1,0,0,0
Blueberries5,Blueberries,5,Most commercially offered blueberries originate from a species that occurs in eastern and north-central North America. Several Canadian First Nation communities are involved in the harvesting of wild blueberries.,,0,0,0,0,0,0,1,1,1,0,0,0
Bok_Choy1,Bok Choy,1,"Bok Choy is a type of Chinese cabbage. Small doses of bok choy have been reported to prevent cancer, but large doses can be toxic to humans due to its high levels of glucosinolates. ",,1,1,1,1,1,1,1,1,1,1,1,1
Bok_Choy2,Bok Choy,2,"Bok Choy is a type of Chinese cabbage. Small doses of bok choy have been reported to prevent cancer, but large doses can be toxic to humans due to its high levels of glucosinolates. ",,1,1,1,1,1,0,0,0,0,1,1,1
Bok_Choy3,Bok Choy,3,"Bok Choy is a type of Chinese cabbage. Small doses of bok choy have been reported to prevent cancer, but large doses can be toxic to humans due to its high levels of glucosinolates. ",,0,0,0,0,0,0,0,1,1,0,1,0
Bok_Choy4,Bok Choy,4,"Bok Choy is a type of Chinese cabbage. Small doses of bok choy have been reported to prevent cancer, but large doses can be toxic to humans due to its high levels of glucosinolates. ",,0,0,0,0,0,0,0,1,1,0,0,0
Bok_Choy5,Bok Choy,5,"Bok Choy is a type of Chinese cabbage. Small doses of bok choy have been reported to prevent cancer, but large doses can be toxic to humans due to its high levels of glucosinolates. ",,0,0,0,0,0,1,1,1,1,1,0,0
Boysenberries1,Boysenberries,1,"A hybrid berry originally cultivated by Rudolph Boysen, and later adapted by berry expert and groundbreaking amusement park specialist Walter Knott. ",,0,0,0,0,1,1,1,1,0,0,0,0
Boysenberries2,Boysenberries,2,"A hybrid berry originally cultivated by Rudolph Boysen, and later adapted by berry expert and groundbreaking amusement park specialist Walter Knott. ",,0,0,0,0,1,1,0,0,0,0,0,0
Boysenberries3,Boysenberries,3,"A hybrid berry originally cultivated by Rudolph Boysen, and later adapted by berry expert and groundbreaking amusement park specialist Walter Knott. ",,0,0,0,0,0,0,0,0,0,0,0,0
Boysenberries4,Boysenberries,4,"A hybrid berry originally cultivated by Rudolph Boysen, and later adapted by berry expert and groundbreaking amusement park specialist Walter Knott. ",,0,0,0,0,0,1,1,1,0,0,0,0
Boysenberries5,Boysenberries,5,"A hybrid berry originally cultivated by Rudolph Boysen, and later adapted by berry expert and groundbreaking amusement park specialist Walter Knott. ",,0,0,0,0,0,0,1,1,0,0,0,0
Brambles1,Brambles,1,"Any rough, tangled, prickly shrub could be classified as a bramble. Notable brambles include blackberries and raspberries. Brambles are often cultivated because they attract butterflies. ",,0,0,0,0,0,1,1,1,0,0,0,0
Brambles2,Brambles,2,"Any rough, tangled, prickly shrub could be classified as a bramble. Notable brambles include blackberries and raspberries. Brambles are often cultivated because they attract butterflies. ",,0,0,0,0,1,1,0,0,0,0,0,0
Brambles3,Brambles,3,"Any rough, tangled, prickly shrub could be classified as a bramble. Notable brambles include blackberries and raspberries. Brambles are often cultivated because they attract butterflies. ",,0,0,0,0,0,0,0,1,1,0,0,0
Brambles4,Brambles,4,"Any rough, tangled, prickly shrub could be classified as a bramble. Notable brambles include blackberries and raspberries. Brambles are often cultivated because they attract butterflies. ",,0,0,0,0,0,1,1,1,0,0,0,0
Brambles5,Brambles,5,"Any rough, tangled, prickly shrub could be classified as a bramble. Notable brambles include blackberries and raspberries. Brambles are often cultivated because they attract butterflies. ",,0,0,0,0,0,0,1,1,1,0,0,0
Broccoli1,Broccoli,1,"An edible green plant in the cabbage family. The word broccoli comes from the Italian word broccolo, which literally means ""the flowering crest of a cabbage"". ",,1,1,1,1,1,1,1,1,1,1,1,1
Broccoli2,Broccoli,2,"An edible green plant in the cabbage family. The word broccoli comes from the Italian word broccolo, which literally means ""the flowering crest of a cabbage"". ",,1,1,1,1,1,0,0,0,0,1,1,1
Broccoli3,Broccoli,3,"An edible green plant in the cabbage family. The word broccoli comes from the Italian word broccolo, which literally means ""the flowering crest of a cabbage"". ",,0,0,0,0,0,1,1,1,1,1,1,0
Broccoli4,Broccoli,4,"An edible green plant in the cabbage family. The word broccoli comes from the Italian word broccolo, which literally means ""the flowering crest of a cabbage"". ",,0,0,0,0,1,1,1,0,1,1,0,0
Broccoli5,Broccoli,5,"An edible green plant in the cabbage family. The word broccoli comes from the Italian word broccolo, which literally means ""the flowering crest of a cabbage"". ",,0,0,0,0,0,1,1,1,1,1,1,0
Brussels_Sprouts1,Brussels Sprouts,1,"Originally cultivated in Ancient Rome, the version we know today was grown as early as the 13th century in Belgium. In a pinch, Brussels Sprouts can be substitutes for cabbage in most recipes. ",,1,1,1,0,0,0,0,0,1,1,1,1
Brussels_Sprouts2,Brussels Sprouts,2,"Originally cultivated in Ancient Rome, the version we know today was grown as early as the 13th century in Belgium. In a pinch, Brussels Sprouts can be substitutes for cabbage in most recipes. ",,1,1,1,1,1,0,0,0,0,1,1,1
Brussels_Sprouts3,Brussels Sprouts,3,"Originally cultivated in Ancient Rome, the version we know today was grown as early as the 13th century in Belgium. In a pinch, Brussels Sprouts can be substitutes for cabbage in most recipes. ",,0,0,0,0,0,0,0,0,1,1,1,0
Brussels_Sprouts4,Brussels Sprouts,4,"Originally cultivated in Ancient Rome, the version we know today was grown as early as the 13th century in Belgium. In a pinch, Brussels Sprouts can be substitutes for cabbage in most recipes. ",,0,0,0,0,0,0,1,1,1,1,0,0
Brussels_Sprouts5,Brussels Sprouts,5,"Originally cultivated in Ancient Rome, the version we know today was grown as early as the 13th century in Belgium. In a pinch, Brussels Sprouts can be substitutes for cabbage in most recipes. ",,1,1,1,0,0,0,0,0,1,1,1,1
Burdock1,Burdock,1,"A root vegetable that is popular in East Asian cuisine. High in fiber and low in calories, Burdock is a staple in 20th century macrobiotic diets. Burdock and dandelion soft drinks are popular in the United Kingdom, which has its origins in hedgerow mead. ",,0,0,0,0,0,0,1,1,1,1,1,1
Burdock2,Burdock,2,"A root vegetable that is popular in East Asian cuisine. High in fiber and low in calories, Burdock is a staple in 20th century macrobiotic diets. Burdock and dandelion soft drinks are popular in the United Kingdom, which has its origins in hedgerow mead. ",,0,0,0,0,0,0,0,0,0,0,0,0
Burdock3,Burdock,3,"A root vegetable that is popular in East Asian cuisine. High in fiber and low in calories, Burdock is a staple in 20th century macrobiotic diets. Burdock and dandelion soft drinks are popular in the United Kingdom, which has its origins in hedgerow mead. ",,0,0,0,0,0,0,0,0,0,0,0,0
Burdock4,Burdock,4,"A root vegetable that is popular in East Asian cuisine. High in fiber and low in calories, Burdock is a staple in 20th century macrobiotic diets. Burdock and dandelion soft drinks are popular in the United Kingdom, which has its origins in hedgerow mead. ",,0,0,0,0,0,0,0,0,0,0,0,0
Burdock5,Burdock,5,"A root vegetable that is popular in East Asian cuisine. High in fiber and low in calories, Burdock is a staple in 20th century macrobiotic diets. Burdock and dandelion soft drinks are popular in the United Kingdom, which has its origins in hedgerow mead. ",,0,0,0,0,0,0,0,0,0,0,0,0
Cabbage1,Cabbage,1,"A staple of medieval European cuisine. Chrysippus of Cnidos once wrote a treatise on cabbage, and Sultan Selim III once wrote an ode to cabbage. The name originates from the flower petal pattern on cabbages, which medieval Europeans believed resembled a crucifix. ",,1,1,1,1,1,1,1,1,1,1,1,1
Cabbage2,Cabbage,2,"A staple of medieval European cuisine. Chrysippus of Cnidos once wrote a treatise on cabbage, and Sultan Selim III once wrote an ode to cabbage. The name originates from the flower petal pattern on cabbages, which medieval Europeans believed resembled a crucifix. ",,1,1,1,1,1,0,0,0,0,1,1,1
Cabbage3,Cabbage,3,"A staple of medieval European cuisine. Chrysippus of Cnidos once wrote a treatise on cabbage, and Sultan Selim III once wrote an ode to cabbage. The name originates from the flower petal pattern on cabbages, which medieval Europeans believed resembled a crucifix. ",,0,0,0,0,0,1,1,1,1,1,1,1
Cabbage4,Cabbage,4,"A staple of medieval European cuisine. Chrysippus of Cnidos once wrote a treatise on cabbage, and Sultan Selim III once wrote an ode to cabbage. The name originates from the flower petal pattern on cabbages, which medieval Europeans believed resembled a crucifix. ",,0,0,0,0,1,1,1,1,1,1,0,0
Cabbage5,Cabbage,5,"A staple of medieval European cuisine. Chrysippus of Cnidos once wrote a treatise on cabbage, and Sultan Selim III once wrote an ode to cabbage. The name originates from the flower petal pattern on cabbages, which medieval Europeans believed resembled a crucifix. ",,0,0,0,0,0,0,1,1,1,1,1,1
Cantaloupe1,Cantaloupe,1,"Also known as a ""rockmelon"". Normally consumed fresh, as part of a salad or as a dessert with ice cream or custard. Melon pieces wrapped in prosciutto are a familiar antipasto. ",,0,0,0,0,1,1,1,1,1,1,1,0
Cantaloupe2,Cantaloupe,2,"Also known as a ""rockmelon"". Normally consumed fresh, as part of a salad or as a dessert with ice cream or custard. Melon pieces wrapped in prosciutto are a familiar antipasto. ",,0,0,0,0,0,1,1,1,1,1,1,0
Cantaloupe3,Cantaloupe,3,"Also known as a ""rockmelon"". Normally consumed fresh, as part of a salad or as a dessert with ice cream or custard. Melon pieces wrapped in prosciutto are a familiar antipasto. ",,0,0,0,0,0,0,0,1,1,0,0,0
Cantaloupe4,Cantaloupe,4,"Also known as a ""rockmelon"". Normally consumed fresh, as part of a salad or as a dessert with ice cream or custard. Melon pieces wrapped in prosciutto are a familiar antipasto. ",,0,0,0,0,0,0,1,1,1,1,0,0
Cantaloupe5,Cantaloupe,5,"Also known as a ""rockmelon"". Normally consumed fresh, as part of a salad or as a dessert with ice cream or custard. Melon pieces wrapped in prosciutto are a familiar antipasto. ",,0,0,0,0,0,0,0,1,1,1,0,0
Cardoons1,Cardoons,1,"A thistle in the sunflower family. The flower buds of the Cardoon can be employed in cheesemaking, while the stalks are considered a delicacy in Spain. ",,1,1,1,1,1,1,1,1,1,1,1,1
Cardoons2,Cardoons,2,"A thistle in the sunflower family. The flower buds of the Cardoon can be employed in cheesemaking, while the stalks are considered a delicacy in Spain. ",,0,0,0,0,0,0,0,0,0,1,1,1
Cardoons3,Cardoons,3,"A thistle in the sunflower family. The flower buds of the Cardoon can be employed in cheesemaking, while the stalks are considered a delicacy in Spain. ",,0,0,0,0,0,0,0,0,0,1,1,1
Cardoons4,Cardoons,4,"A thistle in the sunflower family. The flower buds of the Cardoon can be employed in cheesemaking, while the stalks are considered a delicacy in Spain. ",,0,0,0,0,0,0,0,0,0,1,1,1
Cardoons5,Cardoons,5,"A thistle in the sunflower family. The flower buds of the Cardoon can be employed in cheesemaking, while the stalks are considered a delicacy in Spain. ",,0,0,0,0,0,0,0,0,0,1,1,1
Carrots1,Carrots,1,A root vegetable native to Europe and Southwest Asia. The belief that carrots improve night vision is a myth propugated by the British in World War II to mislead enemy forces about their adoption of radar technologies. ,,1,1,1,1,1,1,1,1,1,1,1,1
Carrots2,Carrots,2,A root vegetable native to Europe and Southwest Asia. The belief that carrots improve night vision is a myth propugated by the British in World War II to mislead enemy forces about their adoption of radar technologies. ,,1,1,1,1,1,0,0,0,0,1,1,1
Carrots3,Carrots,3,A root vegetable native to Europe and Southwest Asia. The belief that carrots improve night vision is a myth propugated by the British in World War II to mislead enemy forces about their adoption of radar technologies. ,,0,0,0,0,0,0,1,1,1,1,1,0
Carrots4,Carrots,4,A root vegetable native to Europe and Southwest Asia. The belief that carrots improve night vision is a myth propugated by the British in World War II to mislead enemy forces about their adoption of radar technologies. ,,0,0,0,0,0,0,1,1,1,1,1,0
Carrots5,Carrots,5,A root vegetable native to Europe and Southwest Asia. The belief that carrots improve night vision is a myth propugated by the British in World War II to mislead enemy forces about their adoption of radar technologies. ,,0,0,0,0,0,1,1,1,1,1,0,0
Cauliflower1,Cauliflower,1,"Similar to broccoli and cabbage, Cauliflower has been claimed by both Ibn al-'Awwam AND Ibn al-Baitar to be a product of Cyprus. Cauliflowers are often white in color, although they can also be orange, green or purple as well. ",,1,1,1,1,1,1,0,0,1,1,1,1
Cauliflower2,Cauliflower,2,"Similar to broccoli and cabbage, Cauliflower has been claimed by both Ibn al-'Awwam AND Ibn al-Baitar to be a product of Cyprus. Cauliflowers are often white in color, although they can also be orange, green or purple as well. ",,1,1,1,1,1,0,0,0,0,1,1,1
Cauliflower3,Cauliflower,3,"Similar to broccoli and cabbage, Cauliflower has been claimed by both Ibn al-'Awwam AND Ibn al-Baitar to be a product of Cyprus. Cauliflowers are often white in color, although they can also be orange, green or purple as well. ",,0,0,0,0,0,0,0,1,1,1,1,0
Cauliflower4,Cauliflower,4,"Similar to broccoli and cabbage, Cauliflower has been claimed by both Ibn al-'Awwam AND Ibn al-Baitar to be a product of Cyprus. Cauliflowers are often white in color, although they can also be orange, green or purple as well. ",,0,0,0,0,1,1,0,0,1,1,0,0
Cauliflower5,Cauliflower,5,"Similar to broccoli and cabbage, Cauliflower has been claimed by both Ibn al-'Awwam AND Ibn al-Baitar to be a product of Cyprus. Cauliflowers are often white in color, although they can also be orange, green or purple as well. ",,0,0,0,0,0,1,1,1,1,1,1,0
Celery1,Celery,1,"Celery was a chthonian symbol among ancient Greeks, and was said to have sprouted from the blood of Kadmilos. Traditionally, Celery was hard to cultivate, which led to it's high societal status in Victorian America, where it cost more than caviar and was often served in special celery vases. ",,1,1,1,1,1,1,1,1,1,1,1,1
